date,code,name,amount,cost,top_cost,low_cost,middle_cost
2020-08-03,104,갈치,2833.6,33735000,44000,3389,10743.5
2020-08-04,104,갈치,1987.2,23176000,43000,3389,21277.5
2020-08-05,104,갈치,1699.7,19826000,44000,3666,12333
2020-08-06,104,갈치,1131.2,15512000,45312,4500,10761.5
2020-08-07,104,갈치,495,7024000,23333,6666,11475.5
2020-08-08,104,갈치,1052.8,18420000,60000,6066,12618.5
2020-08-09,104,갈치,1052.8,18420000,60000,6066,12618.5
2020-08-10,104,갈치,1099,24280000,49000,3500,12208
2020-08-11,104,갈치,2118.4,31801000,44000,3333,8000
2020-08-12,104,갈치,1285.5,24983000,64000,9400,28250
2020-08-13,104,갈치,1667,31051000,56250,4500,13575
2020-08-14,104,갈치,2931.6,51279000,44000,4000,28812.5
2020-08-15,104,갈치,4163.4,53347000,45000,3000,15000
2020-08-16,104,갈치,4163.4,53347000,45000,3000,15000
2020-08-17,104,갈치,2507.3,31993000,34000,2000,9375
2020-08-18,104,갈치,3090.8,29229000,50000,2600,8757
2020-08-19,104,갈치,2079,23982000,42000,2833,9250
2020-08-20,104,갈치,2709.6,33374000,44000,3500,15000
2020-08-21,104,갈치,4715.4,42646000,47000,2000,14922.5
2020-08-22,104,갈치,2898.7,31167000,38000,666,5000
2020-08-23,104,갈치,2898.7,31167000,38000,666,5000
2020-08-24,104,갈치,3775.5,35715000,75000,1533,19428
2020-08-25,104,갈치,1648.7,24106000,50000,2000,11466.5
2020-08-26,104,갈치,5361.2,53193000,65000,1000,13575
2020-08-27,104,갈치,1851.5,5849000,50000,1533,24444
2020-08-28,104,갈치,745,5070000,22857,1466,11983
2020-08-29,104,갈치,2724.7,45654000,56000,5000,11500
2020-08-30,104,갈치,2724.7,45654000,56000,5000,11500
2020-08-31,104,갈치,3745.9,57385000,52000,1650,5000
2020-09-01,104,갈치,2532.8,44983000,49056,5000,19069
2020-09-02,104,갈치,2223.2,30965000,32000,5000,12250
2020-09-03,104,갈치,70,1848000,26400,26400,26400
2020-09-04,104,갈치,1623.1,22657000,28000,1500,17333
2020-09-05,104,갈치,791,13924000,35000,6000,22857
2020-09-06,104,갈치,791,13924000,35000,6000,22857
2020-09-07,104,갈치,2167.6,41606000,48000,4400,27500
2020-09-08,104,갈치,668,8999000,28888,2000,17607
2020-09-09,104,갈치,159,5148000,40000,24333,34583
2020-09-10,104,갈치,3063.9,57987000,56000,5000,23053
2020-09-11,104,갈치,3577.3,59220000,52000,1000,12388.5
2020-09-12,104,갈치,3640.8,51313000,48000,2500,20388
2020-09-13,104,갈치,3640.8,51313000,48000,2500,20388
2020-09-14,104,갈치,3880.6,48112000,52000,1875,21821
2020-09-15,104,갈치,2885,41321000,56000,1000,10500
2020-09-16,104,갈치,2140.7,32741000,56000,333,1000
2020-09-17,104,갈치,2760.5,31756000,57000,800,11000
2020-09-18,104,갈치,3110.7,41079000,70000,500,4000
2020-09-19,104,갈치,3793.4,48852000,56000,2000,4500
2020-09-20,104,갈치,3793.4,48852000,56000,2000,4500
2020-09-21,104,갈치,3127.3,54962000,48000,800,1850
2020-09-22,104,갈치,2751.6,44883000,41509,500,1416.5
2020-09-23,104,갈치,1759.7,19718000,50000,300,10733
2020-09-24,104,갈치,1266.1,17936000,59375,4166,13916.5
2020-09-25,104,갈치,1711.2,35342000,54000,500,13738.5
2020-09-26,104,갈치,1222.6,23764000,57500,300,14650
2020-09-27,104,갈치,1222.6,23764000,57500,300,14650
2020-09-28,104,갈치,3879.7,77663000,60000,800,1750
2020-09-29,104,갈치,2098.8,39602000,54000,3300,23333
2020-09-30,104,갈치,4311.7,37896000,44000,500,4250
2020-10-01,104,갈치,4311.7,37896000,44000,500,4250
2020-10-02,104,갈치,4311.7,37896000,44000,500,4250
2020-10-03,104,갈치,4311.7,37896000,44000,500,4250
2020-10-04,104,갈치,4311.7,37896000,44000,500,4250
2020-10-05,104,갈치,1290,2680000,23000,800,2500
2020-10-06,104,갈치,2496.3,25448000,54000,1200,13322
2020-10-07,104,갈치,2240.3,23128000,50000,900,4500
