date,유의파고 평균,최대파고 최고,최대파고 시간,파주기 평균,파주기 최고,평균풍속,평균 현지기압,평균습도,평균수온,loc
2020-03-17,1.033333333,2.166666667,15.66666667,5.4,8.966666667,7.466666667,1018.966667,71.66666667,13.83333333,남해
2020-03-18,1.266666667,3.133333333,9,5.733333333,7.166666667,7.033333333,1012.933333,57.33333333,12.6,동해
2020-03-18,0.65,1.8,19,5.35,6.45,6,1012.9,88.5,8.8,서해
2020-03-18,0.766666667,2.233333333,16.33333333,4.6,5.5,4.466666667,1015.966667,76.33333333,14.16666667,남해
2020-03-19,2.333333333,5.733333333,18.66666667,6.366666667,8.066666667,12.9,1002.833333,65.66666667,12.53333333,동해
2020-03-19,2,4.3,10,6.45,7.5,10.5,1010.9,66,8.75,서해
2020-03-19,1.666666667,4.033333333,19.66666667,5.233333333,6.4,10.53333333,1011.7,65,14.3,남해
2020-03-20,2.266666667,5.633333333,8.666666667,7.4,9.633333333,9.366666667,1010.933333,53.66666667,12.63333333,동해
2020-03-20,1.25,3.45,11.5,5.9,7.15,7.3,1014.5,73.5,8.85,서해
2020-03-20,1.033333333,3.066666667,1,5.4,6.966666667,6.933333333,1017.2,47.66666667,14.36666667,남해
2020-03-21,1.433333333,3.133333333,14.33333333,5.666666667,6.666666667,7.433333333,1010.533333,71.33333333,13,동해
2020-03-21,1.2,2.95,3,6.45,6.8,5.35,1011.45,89,9.15,서해
2020-03-21,1.033333333,2.233333333,15,5,5.633333333,5.133333333,1014.8,78.66666667,14.5,남해
2020-03-22,1.566666667,3.5,11.33333333,6.433333333,8.3,6.366666667,1012.666667,66.33333333,13.06666667,동해
2020-03-22,1,2.35,9.5,5.25,6.65,7.3,1016.65,70.5,8.95,서해
2020-03-22,0.939301144,2.322026226,10.26097761,5.365127318,6.650366032,4.82591236,1013.2,84,14.53333333,남해
2020-03-23,0.866666667,2.066666667,1.666666667,8.066666667,10.16666667,4.7,1016.433333,57.33333333,12.86666667,동해
2020-03-23,0.6,1.7,11,5.25,6.15,4.65,1020,74.5,9.2,서해
2020-03-23,1.005967811,2.45535956,12.26097761,5.365127318,7.117032699,6.759245693,1017.516138,63.33675624,15.47036395,남해
2020-03-24,0.633333333,1.466666667,7.333333333,5.566666667,8.366666667,3.466666667,1021.333333,55.66666667,13.03333333,동해
2020-03-24,0.35,1.05,1,5.4,6.85,3.3,1021.2,75,9.8,서해
2020-03-24,0.839301144,2.088692893,5.594310945,4.931793985,6.250366032,5.72591236,1020.8,66.33333333,14.6,남해
2020-03-25,0.833333333,1.833333333,13,4.633333333,6.566666667,6.733333333,1021.066667,66,13.16666667,동해
2020-03-25,0.45,1.6,20,4.25,7,5.95,1018.5,83.5,9.6,서해
2020-03-25,0.633333333,1.4,8,4.266666667,5.8,5.366666667,1021.1,69.66666667,14.53333333,남해
2020-03-26,0.966666667,2.733333333,20.66666667,4.566666667,5.633333333,7.233333333,1016.266667,86.66666667,13.46666667,동해
2020-03-26,0.75,1.7,8,5.05,6.4,4.75,1013.35,91.5,9.6,서해
2020-03-26,1.033333333,3.066666667,22,4.6,7.1,6.233333333,1015.9,89.66666667,14.56666667,남해
2020-03-27,1.8,4.766666667,15,6.466666667,8.433333333,7.833333333,1011.633333,85.33333333,13.46666667,동해
2020-03-27,2.6,5.6,18.5,7.2,9,12.6,1017.75,68,9.35,서해
