Date,Open,High,Low,Adj Close,Volume,Close
2022-10-07,12.505,12.67,12.022,12.066989,672478160,12.076
2022-10-10,12.037,12.12432,11.40812,11.661293,698699250,11.67
2022-10-11,11.561,11.846,11.283,11.577357,667481630,11.586
2022-10-12,11.579,11.735,11.345,11.491422,492590190,11.5
2022-10-13,10.971,12.07799,10.813,11.951077,850103010,11.96
2022-10-14,12.057,12.111,11.204,11.218624,713431990,11.227
2022-10-17,11.518,11.948,11.517,11.879132,580774170,11.888
2022-10-18,12.344,12.492,11.618,11.958074,659362060,11.967
2022-10-19,11.879,12.35,11.834,12.04201,523130610,12.051
2022-10-20,12.113,12.769,12.105,12.184904,652397610,12.194
2022-10-21,12.0982,12.498,11.887,12.4567,609494410,12.466
2022-10-24,12.508,12.71,12.064,12.589601,517457400,12.599
2022-10-25,12.6935,13.3,12.664,13.251106,505482330,13.261
2022-10-26,12.869,13.388,12.708,12.886378,535533290,12.896
2022-10-27,13.63,13.838,13.122,13.166168,583113080,13.176
2022-10-28,13.104,13.85,13.061,13.82368,521039930,13.834
2022-10-31,13.778,13.838,13.297,13.486931,486340990,13.497
2022-11-01,13.811,13.925,13.519,13.532896,432816900,13.543
2022-11-02,13.85,14.21,13.21124,13.209138,672627840,13.219
2022-11-03,13.043,13.781,12.956,13.410988,500064860,13.421
2022-11-04,13.986,14.229,13.697,14.14544,612575910,14.156
2022-11-07,14.228,14.412,13.954,14.29033,410060950,14.301
2022-11-08,14.801,14.89101,14.216,14.591106,595291990,14.602
2022-11-09,14.1615,14.211,13.75901,13.765723,454413660,13.776
2022-11-10,14.8,15.773,14.547,15.73825,700819250,15.75
2022-11-11,15.8075,16.389,15.482,16.314821,655487470,16.327
2022-11-14,16.218,16.540001,15.922,16.282843,527852450,16.295
2022-11-15,16.7215,16.997999,16.382,16.653566,545875500,16.666
2022-11-16,16.161501,16.362,15.873,15.89813,649546840,15.91
2022-11-17,15.715,16.266001,15.535,15.665304,710893560,15.677
2022-11-18,15.966,16.002001,15.12001,15.397505,492071650,15.409
2022-11-21,15.147,15.477,15.08,15.305573,404739310,15.317
2022-11-22,15.328,16.05757,15.1216,16.026033,472866070,16.038
2022-11-23,16.098,16.527,16.04801,16.506676,427240930,16.518999
2022-11-25,16.318001,16.487,16.172001,16.257864,167934300,16.27
2022-11-28,16.025999,16.357,15.725,15.815193,304152010,15.827
2022-11-29,15.827,15.932,15.52,15.627333,298384490,15.639
2022-11-30,15.697,16.93,15.597,16.9147,565298220,16.923
2022-12-01,16.999001,17.264999,16.635,17.126598,470976570,17.135
2022-12-02,16.659,16.93257,16.445,16.867723,371388580,16.875999
2022-12-05,16.679001,16.995001,16.47201,16.601856,352255170,16.610001
2022-12-06,16.530001,16.573,15.819,15.97916,352694270,15.987
2022-12-07,15.772,16.186001,15.667,16.112097,372387580,16.120001
2022-12-08,16.273001,17.179001,15.959,17.160582,515455540,17.169001
2022-12-09,17.16,17.583,16.975,16.992662,465338190,17.000999
2022-12-12,17.037001,17.538,16.797001,17.526402,457327800,17.535
2022-12-13,18.531,18.790001,17.711,18.063139,656588760,18.072001
2022-12-14,17.987,18.252001,17.42,17.665331,496888100,17.674
2022-12-15,17.146,17.32,16.700001,16.943687,478542100,16.952
2022-12-16,16.864201,17.041,16.41,16.562872,478231930,16.570999
2022-12-19,16.572001,16.608999,16.145,16.246027,354038770,16.254
2022-12-20,16.063999,16.309999,15.852,16.077112,403259790,16.084999
2022-12-21,16.114,16.627001,16.101999,16.492907,325025380,16.500999
2022-12-22,16.0935,16.138,14.882,15.331478,565045270,15.339
